codice_comune,anno,totale_incidenti
1066,2002,45
1066,2003,16
1066,2004,20
1066,2005,16
1066,2006,24
1066,2007,17
1066,2008,23
1066,2009,16
1066,2010,23
1066,2011,14
1066,2012,11
1066,2013,13
1066,2014,10
1066,2015,16
1066,2016,14
1066,2017,17
1066,2018,16
1066,2019,15
1066,2020,9
1066,2021,11
1066,2022,9
1066,2023,7
1066,2024,16
1067,2001,2
1067,2002,0
1067,2003,2
1067,2004,0
1067,2005,0
1067,2006,0
1067,2007,1
1067,2008,0
1067,2009,0
1067,2010,1
1067,2011,0
1067,2012,0
1067,2013,0
1067,2014,0
1067,2015,0
1067,2016,0
1067,2017,0
1067,2018,0
1067,2019,0
1067,2020,0
1067,2021,2
1067,2022,0
1067,2023,0
1067,2024,1
1068,2001,2
1068,2002,5
1068,2003,1
1068,2004,9
1068,2005,6
1068,2006,3
1068,2007,4
1068,2008,0
1068,2009,11
1068,2010,14
1068,2011,14
1068,2012,7
1068,2013,13
1068,2014,8
1068,2015,12
1068,2016,10
1068,2017,9
1068,2018,10
1068,2019,15
1068,2020,10
1068,2021,11
1068,2022,7
1068,2023,15
1068,2024,3
1069,2001,1
1069,2002,0
1069,2003,0
1069,2004,3
1069,2005,2
1069,2006,0
1069,2007,1
1069,2008,3
1069,2009,2
1069,2010,1
1069,2011,3
1069,2012,1
1069,2013,5
1069,2014,3
1069,2015,7
1069,2016,2
1069,2017,2
1069,2018,1
1069,2019,4
1069,2020,2
1069,2021,3
1069,2022,3
1069,2023,0
1069,2024,4
1070,2001,13
1070,2002,19
1070,2003,11
1070,2004,14
1070,2005,6
1070,2006,8
1070,2007,14
1070,2008,11
1070,2009,20
1070,2010,10
1070,2011,15
1070,2012,1
1070,2013,5
1070,2014,10
1070,2015,5
1070,2016,9
1070,2017,8
1070,2018,5
1070,2019,6
1070,2020,7
1070,2021,13
1070,2022,9
1070,2023,8
1070,2024,10
1071,2001,1
1071,2002,10
1071,2003,2
1071,2004,2
1071,2005,2
1071,2006,4
1071,2007,4
1071,2008,3
1071,2009,1
1071,2010,4
1071,2011,6
1071,2012,4
1071,2013,3
1071,2014,6
1071,2015,2
1071,2016,4
1071,2017,4
1071,2018,1
1071,2019,1
1071,2020,2
1071,2021,2
1071,2022,5
1071,2023,1
1072,2001,2
1072,2002,0
1072,2003,0
1072,2004,0
1072,2005,1
1072,2006,0
1072,2007,3
1072,2008,0
1072,2009,2
1072,2010,0
1072,2011,3
1072,2012,2
1072,2013,2
1072,2014,3
1072,2015,2
1072,2016,3
1072,2017,2
1072,2018,1
1072,2019,3
1072,2020,1
1072,2021,1
1072,2022,1
1072,2023,0
1072,2024,2
1073,2001,1
1073,2002,2
1073,2003,0
1073,2004,0
1073,2005,2
1073,2006,2
1073,2007,0
1073,2008,0
1073,2009,1
1073,2010,0
1073,2011,0
1073,2012,0
1073,2013,0
1073,2014,0
1073,2015,0
1073,2016,0
1073,2017,0
1073,2018,1
1073,2019,1
1073,2020,0
1073,2021,0
1073,2022,1
1073,2023,0
1073,2024,1
1074,2001,0
1074,2002,8
1074,2003,12
1074,2004,7
1074,2005,6
1074,2006,1
1074,2007,1
1074,2008,2
